販売管理表(部門別５２週推移),,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,
商品条件：03:精肉⇒037:挽肉,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,003701:牛ﾐﾝﾁ,003701:牛ﾐﾝﾁ,003701:牛ﾐﾝﾁ,003702:豚ﾐﾝﾁ,003702:豚ﾐﾝﾁ,003702:豚ﾐﾝﾁ,003703:合挽ﾐﾝﾁ,003703:合挽ﾐﾝﾁ,003703:合挽ﾐﾝﾁ,003704:鶏ﾐﾝﾁ,003704:鶏ﾐﾝﾁ,003704:鶏ﾐﾝﾁ,003799:代表ｺｰﾄﾞ,003799:代表ｺｰﾄﾞ,003799:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),28,"¥494,968",81.50%,39,"¥704,684",90.60%,18,"¥1,628,219",105.30%,35,"¥649,743",99.30%,3,¥0,0.00%
2025年02週(2025/04/07~2025/04/13),12,"¥529,095",93.70%,26,"¥727,117",99.20%,33,"¥1,466,963",80.60%,25,"¥674,712",103.60%,4,¥0,0.00%
2025年03週(2025/04/14~2025/04/20),4,"¥566,169",93.40%,17,"¥742,238",94.80%,14,"¥1,662,714",107.10%,26,"¥672,866",106.10%,5,¥0,0.00%
2025年04週(2025/04/21~2025/04/27),14,"¥527,904",92.50%,10,"¥760,090",99.00%,15,"¥1,642,429",85.80%,36,"¥639,473",101.40%,52,"¥-3,666",0.00%
2025年05週(2025/04/28~2025/05/04),10,"¥530,046",90.70%,30,"¥720,152",94.40%,37,"¥1,426,057",87.50%,41,"¥615,205",102.10%,6,¥0,0.00%
2025年06週(2025/05/05~2025/05/11),1,"¥579,795",91.80%,2,"¥806,126",103.70%,10,"¥1,682,644",94.30%,29,"¥662,433",98.90%,7,¥0,0.00%
2025年07週(2025/05/12~2025/05/18),18,"¥517,643",86.10%,27,"¥724,056",91.50%,45,"¥1,367,973",87.80%,49,"¥590,993",89.60%,8,¥0,0.00%
2025年08週(2025/05/19~2025/05/25),25,"¥504,078",87.90%,34,"¥717,944",91.10%,24,"¥1,586,874",81.60%,39,"¥625,264",100.50%,9,¥0,0.00%
2025年09週(2025/05/26~2025/06/01),22,"¥514,388",93.10%,32,"¥719,570",94.40%,2,"¥1,832,390",123.70%,38,"¥635,329",103.70%,10,¥0,0.00%
2025年10週(2025/06/02~2025/06/08),3,"¥567,526",99.00%,18,"¥740,212",90.20%,5,"¥1,762,140",104.90%,31,"¥660,538",107.10%,11,¥0,0.00%
2025年11週(2025/06/09~2025/06/15),9,"¥531,042",97.40%,21,"¥735,438",96.10%,35,"¥1,438,206",95.20%,30,"¥661,350",114.20%,12,¥0,0.00%
2025年12週(2025/06/16~2025/06/22),7,"¥536,451",97.90%,40,"¥703,263",94.80%,9,"¥1,697,304",101.80%,42,"¥613,202",101.10%,13,¥0,0.00%
2025年13週(2025/06/23~2025/06/29),34,"¥489,722",88.00%,33,"¥718,687",95.00%,13,"¥1,667,437",97.40%,40,"¥622,194",100.60%,14,¥0,0.00%
2025年14週(2025/06/30~2025/07/06),40,"¥479,245",94.60%,14,"¥748,670",97.40%,12,"¥1,668,600",103.00%,47,"¥604,613",104.80%,15,¥0,0.00%
2025年15週(2025/07/07~2025/07/13),21,"¥515,333",95.40%,20,"¥735,451",96.90%,43,"¥1,378,821",93.10%,52,"¥579,382",100.00%,16,¥0,0.00%
2025年16週(2025/07/14~2025/07/20),8,"¥533,555",100.20%,7,"¥766,904",99.80%,21,"¥1,592,405",97.30%,46,"¥608,435",104.70%,17,¥0,0.00%
2025年17週(2025/07/21~2025/07/27),29,"¥494,630",96.20%,6,"¥767,521",102.00%,46,"¥1,335,151",82.50%,45,"¥610,211",102.60%,18,¥0,0.00%
2025年18週(2025/07/28~2025/08/03),26,"¥501,940",95.80%,11,"¥759,063",96.40%,22,"¥1,591,582",106.60%,50,"¥585,703",103.20%,19,¥0,0.00%
2025年19週(2025/08/04~2025/08/10),24,"¥509,910",90.10%,15,"¥745,590",96.10%,26,"¥1,546,626",102.50%,51,"¥580,992",97.60%,20,¥0,0.00%
2025年20週(2025/08/11~2025/08/17),6,"¥541,178",96.50%,1,"¥818,332",102.80%,36,"¥1,435,038",96.90%,48,"¥602,211",104.80%,21,¥0,0.00%
2025年21週(2025/08/18~2025/08/24),16,"¥519,388",87.10%,5,"¥768,525",94.30%,17,"¥1,634,730",91.90%,43,"¥612,395",97.10%,50,¥-705,0.00%
2025年22週(2025/08/25~2025/08/31),15,"¥521,769",84.00%,3,"¥802,849",89.30%,19,"¥1,622,602",84.80%,44,"¥610,573",98.40%,22,¥0,0.00%
2025年23週(2025/09/01~2025/09/07),11,"¥529,567",87.50%,4,"¥789,908",99.70%,6,"¥1,761,265",104.10%,27,"¥672,421",107.90%,23,¥0,0.00%
2025年24週(2025/09/08~2025/09/14),31,"¥492,910",101.50%,8,"¥766,668",101.80%,47,"¥1,332,604",95.60%,37,"¥636,696",105.40%,24,¥0,0.00%
2025年25週(2025/09/15~2025/09/21),2,"¥573,478",107.20%,25,"¥727,463",98.90%,8,"¥1,701,806",106.30%,34,"¥653,341",106.10%,25,¥0,0.00%
2025年26週(2025/09/22~2025/09/28),13,"¥528,266",93.20%,44,"¥698,498",94.50%,20,"¥1,618,464",90.90%,32,"¥656,631",99.30%,26,¥0,0.00%
2025年27週(2025/09/29~2025/10/05),41,"¥477,526",82.80%,41,"¥701,278",95.50%,30,"¥1,520,361",95.30%,33,"¥655,498",99.50%,27,¥0,0.00%
2025年28週(2025/10/06~2025/10/12),20,"¥515,785",99.90%,19,"¥737,896",101.40%,44,"¥1,371,373",99.30%,22,"¥702,631",99.00%,28,¥0,0.00%
2025年29週(2025/10/13~2025/10/19),42,"¥475,989",87.60%,49,"¥669,450",92.40%,32,"¥1,470,047",90.60%,21,"¥710,900",100.90%,29,¥0,0.00%
2025年30週(2025/10/20~2025/10/26),45,"¥471,590",92.20%,38,"¥710,923",100.10%,23,"¥1,587,185",103.10%,16,"¥741,356",106.60%,30,¥0,0.00%
2025年31週(2025/10/27~2025/11/02),46,"¥465,895",97.10%,37,"¥711,757",100.00%,28,"¥1,524,164",98.80%,17,"¥740,211",98.00%,31,¥0,0.00%
2025年32週(2025/11/03~2025/11/09),36,"¥487,629",89.80%,9,"¥760,930",108.40%,50,"¥1,319,248",84.30%,8,"¥786,578",110.10%,1,¥658,170.50%
2025年33週(2025/11/10~2025/11/16),43,"¥474,375",99.00%,35,"¥717,032",103.50%,16,"¥1,641,256",126.90%,11,"¥765,146",105.70%,32,¥0,0.00%
2025年34週(2025/11/17~2025/11/23),27,"¥497,615",99.30%,46,"¥684,952",106.40%,49,"¥1,320,635",91.00%,14,"¥753,873",104.10%,33,¥0,0.00%
2025年35週(2025/11/24~2025/11/30),48,"¥452,188",102.90%,47,"¥677,394",101.10%,4,"¥1,781,433",111.90%,9,"¥773,052",111.20%,34,¥0,0.00%
2025年36週(2025/12/01~2025/12/07),19,"¥517,102",107.60%,22,"¥733,499",106.00%,39,"¥1,414,100",91.40%,7,"¥806,910",104.00%,35,¥0,0.00%
2025年37週(2025/12/08~2025/12/14),52,"¥419,171",95.30%,50,"¥648,202",105.20%,34,"¥1,444,210",112.80%,13,"¥754,665",105.40%,36,¥0,0.00%
2025年38週(2025/12/15~2025/12/21),49,"¥451,655",95.10%,51,"¥636,942",109.70%,52,"¥1,286,735",88.80%,23,"¥700,076",100.90%,37,¥0,0.00%
2025年39週(2025/12/22~2025/12/28),5,"¥554,055",91.90%,16,"¥742,519",100.60%,3,"¥1,811,470",99.80%,2,"¥868,700",94.80%,38,¥0,0.00%
2025年40週(2025/12/29~2026/01/04),51,"¥431,633",99.30%,52,"¥598,259",112.00%,51,"¥1,300,987",122.70%,1,"¥896,830",114.70%,2,¥388,0.00%
2025年41週(2026/01/05~2026/01/11),50,"¥444,127",96.50%,31,"¥719,691",108.40%,48,"¥1,324,782",95.40%,6,"¥807,311",117.60%,51,"¥-2,290",884.20%
2025年42週(2026/01/12~2026/01/18),44,"¥473,366",100.00%,42,"¥700,871",102.40%,11,"¥1,681,864",109.60%,4,"¥824,666",108.00%,39,¥0,0.00%
2025年43週(2026/01/19~2026/01/25),33,"¥491,397",94.00%,29,"¥721,895",103.40%,40,"¥1,402,892",81.70%,5,"¥822,756",113.00%,40,¥0,0.00%
2025年44週(2026/01/26~2026/02/01),17,"¥518,180",91.90%,36,"¥716,067",97.70%,27,"¥1,534,508",114.70%,3,"¥845,954",116.30%,41,¥0,0.00%
2025年45週(2026/02/02~2026/02/08),35,"¥489,444",99.00%,48,"¥674,035",96.00%,31,"¥1,479,358",94.60%,10,"¥769,724",106.00%,42,¥0,0.00%
2025年46週(2026/02/09~2026/02/15),37,"¥486,143",96.50%,13,"¥752,202",101.40%,25,"¥1,581,618",111.10%,12,"¥760,857",106.00%,43,¥0,0.00%
2025年47週(2026/02/16~2026/02/22),38,"¥483,895",99.30%,45,"¥694,508",96.80%,41,"¥1,385,231",81.70%,15,"¥748,642",99.90%,44,¥0,0.00%
2025年48週(2026/02/23~2026/03/01),39,"¥480,389",92.10%,12,"¥752,736",107.60%,7,"¥1,730,011",124.60%,18,"¥738,718",108.70%,45,¥0,0.00%
2025年49週(2026/03/02~2026/03/08),30,"¥493,946",99.20%,28,"¥723,052",104.60%,42,"¥1,381,767",93.30%,19,"¥737,601",111.00%,46,¥0,0.00%
2025年50週(2026/03/09~2026/03/15),32,"¥491,487",91.50%,43,"¥700,684",101.90%,29,"¥1,520,715",113.00%,20,"¥718,562",104.50%,47,¥0,0.00%
2025年51週(2026/03/16~2026/03/22),47,"¥456,136",85.60%,24,"¥728,511",106.90%,38,"¥1,417,768",91.00%,24,"¥689,981",103.20%,48,¥0,0.00%
2025年52週(2026/03/23~2026/03/29),23,"¥512,198",94.70%,23,"¥731,376",107.20%,1,"¥1,913,061",112.70%,28,"¥666,077",105.10%,49,¥0,0.00%
